"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","47996","should checkout successfully after processing E2E flow","","Tue Dec 31 18:36:09 PKT 2024","passed","Tue Dec 31 18:36:57 PKT 2024","","E2E Saucelabs Test","",""
"","28218","should checkout successfully after processing E2E flow","","Tue Dec 31 18:36:18 PKT 2024","passed","Tue Dec 31 18:36:46 PKT 2024","","E2E Saucelabs Test","",""
